"","SYMBOL","PV_UF_AMPH3","PV_UF_AMPH1","PV_UF_AMPH2","PV_UF_AMPH4","PV_UF_AMPH5","PV_UF_SAL1","PV_UF_SAL2","PV_UF_SAL3","PV_UF_SAL4","PV_UF_SAL5","SST_UF_AMPH6","SST_UF_AMPH7","SST_UF_AMPH8","SST_UF_SAL6","SST_UF_SAL7","SST_UF_SAL8"
"3","0610009B22Rik",8.13514596275792,7.93492698920051,8.15330084620001,8.03487368106392,8.14565728745117,7.85788482953097,8.1462753172339,8.19241909360518,8.17409110129299,8.05205398863508,8.14439593017756,7.98340942236316,8.20226000163487,8.10540837043472,8.10025149647989,8.05512469072609
"4","0610009E02Rik",9.05151273980394,8.91886734034734,8.91183227541281,9.00514659736339,8.82918018367604,8.92723688783163,8.75319878963288,8.86809791772831,8.9238977733888,8.86076338219486,9.04393204599222,8.97387248608118,8.81575067226735,8.86375707237669,8.78449819501409,9.0370043786122
"5","0610009L18Rik",7.89362944984118,7.93492698920051,8.00563608234055,7.9352656496903,7.88304307613958,7.90578160249125,8.01898646736593,8.11937042261454,7.87697682498591,8.10153002435787,7.72562596803503,7.94654758501729,7.9091105041808,8.04850313791057,7.78563633921921,7.80221177557924
"6","0610010F05Rik",11.3300366038655,11.2821746737746,11.0270027015058,11.2171517167739,11.142853013365,11.1604191621469,11.2316212604361,11.1571362134156,11.2550872890439,11.0613345099833,11.2885952468743,11.2480358991806,11.2063065238621,11.3195196803026,11.4223794767506,11.50575344758
"9","0610012G03Rik",8.03464904085463,8.13573004682057,8.1888762063801,7.96985680527516,8.1596824564855,8.2821791494949,8.07786531693976,8.24035340347412,8.20409013173952,8.13162607214149,7.89860889851345,7.95592509140338,8.28441829000436,8.04850313791057,7.98739048121459,7.95276663490663
"14","0610037L13Rik",9.42912181773369,9.42294375661781,9.57971128488018,9.52530949204285,9.66229907906887,9.62394169456398,9.5059769285916,9.81239606174879,9.69223260383446,9.66973013703488,9.53986563272187,9.61966215193609,9.69345145621095,9.64832584465594,9.6357178291225,9.66068766471837
"17","0610040B10Rik",7.76429337357409,7.84602885249239,7.89018699552588,7.81487223688905,7.82923997864262,7.85788482953097,7.7797714005487,7.75031873995265,7.94468838441487,7.91098838625975,7.98892633261722,7.83490755490097,7.81526027080613,7.9016094085007,7.8366683260333,7.80221177557924
"18","0610040F04Rik",9.21535938729113,9.38523100659859,8.97348883596361,9.0939346248048,9.0967090191257,9.2208631718356,9.05990845718202,8.94857979855039,9.25806311643388,9.18873175922508,8.91766887484122,8.96684692903046,8.74271947053028,9.09896513020211,9.09750432561872,9.19795916708333
"19","0610040J01Rik",9.20225295864847,9.05332170530572,9.0444877908474,9.18793843635432,8.93863049861794,9.05216515330587,9.13023668661384,9.11735775440109,9.12256565730284,9.17377474973297,9.12950565712643,9.07480135850196,9.13067095827412,9.01627102513208,9.12295123279025,8.99421147349783
"20","0610043K17Rik",9.01849750458906,8.93705160683738,8.85641622928762,9.02127448457073,8.98773598840238,8.92299117371538,9.09696164162791,9.01075749820409,9.03419601121483,9.08378428388584,8.92116079020422,9.05524976117577,8.83769151886308,9.06653048363998,8.98406955435682,9.17200785652351
"27","1110002L01Rik",9.13465603503525,9.26170157983651,9.00739958208828,9.16108858010319,9.14208637172369,9.12304810951132,8.9700216672916,9.15100218273128,9.14857246252756,9.29193806831771,9.06587000603864,9.35823711605166,9.15790691611396,9.23557648935635,9.21217856165044,9.24285324829536
"30","1110004F10Rik",10.0363647958714,9.96712339047314,10.1349512322599,10.0427804081801,10.1461651844258,10.1610137939007,10.0491975192542,10.1231995241528,10.0973895786037,10.0742882101591,10.1904092256082,10.1336932056016,10.2104346886586,10.2741273106055,10.2145374170046,10.3308104289684
